OID_,FID_Clip_layer_neg_buffer,FID_gbif_occurrence,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
134,1,6373,1404609541.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS362221760,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,7/18/01,18,7,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS362221760,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:30:22.253Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
135,1,6375,1404606900.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS362221722,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,7/3/01,3,7,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS362221722,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:30:22.188Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
136,1,6376,1404603175.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS362221663,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,6/18/01,18,6,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS362221663,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:10:51.406Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
137,1,6981,1201893210.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS289943717,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,4/30/03,30,4,2003,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS289943717,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:28:18.122Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
138,1,7210,1182257364.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS266014805,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,7/12/02,12,7,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS266014805,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:09:56.251Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
139,1,7219,1181551372.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS265246986,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,5/3/02,3,5,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS265246986,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:11:11.075Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
140,1,7221,1181549937.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS265246748,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Redwood Meadow,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.171207000000003,-122.223079999999996,,,,,,,4/21/02,21,4,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS265246748,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:27:38.900Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
141,1,1073,579660896.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS96569585,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP BIGB 3,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172150000000002,-122.224570000000000,,,,,,,5/26/04,26,5,2004,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS96569585,,,,CC_BY_4_0,,obsr199500,,,2024-01-24T21:07:42.451Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
142,1,1075,579659667.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS96599535,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP BIGB 3,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172150000000002,-122.224570000000000,,,,,,,5/26/04,26,5,2004,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS96599535,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:07:42.356Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
143,1,6388,1402073763.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS359265024,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Campground Loop,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172423999999999,-122.212000000000003,,,,,,,5/21/08,21,5,2008,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS359265024,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:34:34.291Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
144,1,6389,1402072329.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS359264999,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Campground Loop,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172423999999999,-122.212000000000003,,,,,,,5/7/08,7,5,2008,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS359264999,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:11:18.691Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
145,1,6345,1405581919.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS366915923,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP STST 2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172184000000001,-122.231440000000006,,,,,,,5/24/04,24,5,2004,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS366915923,,,,CC_BY_4_0,,obsr199500,,,2024-01-24T21:11:01.253Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
146,1,6347,1405574663.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS366924820,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP STST 2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172184000000001,-122.231440000000006,,,,,,,5/24/04,24,5,2004,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS366924820,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:30:29.672Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
147,1,1560,4396019765.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1738555039,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP--headquarters,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172671999999999,-122.222080000000005,,,,,,,7/12/21,12,7,2021,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1738555039,,,,CC_BY_4_0,,obsr268904,,,2024-01-24T21:53:06.448Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
148,1,1565,4393839405.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1747115829,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP--headquarters,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172671999999999,-122.222080000000005,,,,,,,7/12/21,12,7,2021,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1747115829,,,,CC_BY_4_0,,obsr177250,,,2024-01-24T21:51:32.588Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
149,1,2591,3628143148.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1194406129,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP--headquarters,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172671999999999,-122.222080000000005,,,,,,,7/2/21,2,7,2021,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1194406129,,,,CC_BY_4_0,,obsr292956,,,2024-01-24T20:55:46.798Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
150,1,11,977175726.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267781,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172680000000000,-122.222083999999995,,,,,,,5/21/01,21,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267781,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:30:52.665Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
151,1,309,953981204.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS198165838,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,20,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172680000000000,-122.222083999999995,,,,,,,6/20/87,20,6,1987,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS198165838,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:25:44.394Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
152,1,6391,1402065965.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS359264890,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172680000000000,-122.222083999999995,,,,,,,5/8/05,8,5,2005,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS359264890,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:11:24.106Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
153,1,6982,1201889921.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS289943910,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172680000000000,-122.222083999999995,,,,,,,5/31/03,31,5,2003,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS289943910,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:33:39.664Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
154,1,7211,1182257341.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS266014804,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172680000000000,-122.222083999999995,,,,,,,7/13/02,13,7,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS266014804,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:09:24.518Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
155,1,1071,579661384.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS96599744,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP H236 23,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172899999999998,-122.219420000000000,,,,,,,5/28/04,28,5,2004,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS96599744,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:07:46.309Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
156,1,1072,579661214.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS96569152,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP H236 23,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.172899999999998,-122.219420000000000,,,,,,,5/28/04,28,5,2004,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS96569152,,,,CC_BY_4_0,,obsr199500,,,2024-01-24T20:23:25.312Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
157,1,6782,1343722163.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS206281125,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/19/13,19,7,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS206281125,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T21:32:25.891Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
158,1,6783,1343709751.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS204674133,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,8,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/15/13,15,7,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS204674133,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T21:32:41.150Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
159,1,6784,1343709690.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS204668014,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/13/13,13,7,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS204668014,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T21:09:54.004Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
160,1,6785,1343708994.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS204385784,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/12/13,12,7,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS204385784,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T21:09:18.824Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
161,1,6786,1343705575.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS204313132,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/11/13,11,7,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS204313132,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T20:25:57.235Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
162,1,6788,1343331472.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS162511053,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/20/12,20,7,2012,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS162511053,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T21:30:40.364Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
163,1,6789,1343331418.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS162510472,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,7/13/12,13,7,2012,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS162510472,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T21:07:51.460Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
164,1,6790,1343297444.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS157003109,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,"Big Basin SP, park headquarters and vicinity",California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173527000000000,-122.226330000000004,,,,,,,6/22/12,22,6,2012,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS157003109,,,,CC_BY_4_0,,obsr195971,,,2024-01-24T20:24:39.511Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
165,1,3251,3211556629.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1091841146,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin Redwoods State Park - Opal Creek,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173960000000001,-122.215509999999995,,,,,,,6/24/01,24,6,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS1091841146,,,,CC_BY_4_0,,obsr1313858,,,2024-01-24T21:22:27.555Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
166,1,6296,1412099477.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS78975051,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP BIGB 2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173960000000001,-122.223330000000004,,,,,,,5/28/02,28,5,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS78975051,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:06:44.753Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
167,1,6298,1412098639.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS78941584,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,SCZ FBMP BIGB 2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.173960000000001,-122.223330000000004,,,,,,,5/28/02,28,5,2002,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS78941584,,,,CC_BY_4_0,,obsr199500,,,2024-01-24T21:08:46.787Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
